/home/sujiya/SpTRSV_Gpu/matrix/12.mtx, 321821, 1478630, 4.59, 86, 3742.10, 0.02, 4.68, 0.63, 5.46, 0.01, 0.09
/home/sujiya/SpTRSV_Gpu/matrix/130.mtx, 69518, 237256, 3.41, 23, 3022.52, 0.00, 0.05, 8.69, 82.89, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/131.mtx, 2707524, 8188837, 3.02, 300, 9025.08, 0.21, 1.18, 13.83, 138.14, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/132.mtx, 329885, 1118930, 3.39, 24, 13745.21, 0.02, 0.19, 11.92, 113.92, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/133.mtx, 51975, 174676, 3.36, 8, 6496.88, 0.00, 0.02, 15.52, 148.82, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/134.mtx, 135135, 407743, 3.02, 10, 13513.50, 0.01, 0.04, 20.68, 206.77, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/135.mtx, 259777, 873328, 3.36, 25, 10391.08, 0.02, 0.16, 10.67, 102.34, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/136.mtx, 343565, 1171849, 3.41, 27, 12724.63, 0.02, 0.20, 11.65, 111.14, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/137.mtx, 65536, 164497, 2.51, 9, 7281.78, 0.00, 0.05, 7.30, 79.65, 0.14, 0.56
/home/sujiya/SpTRSV_Gpu/matrix/138.mtx, 63240, 110245, 1.74, 8, 7905.00, 0.00, 0.03, 6.35, 82.32, 0.05, 0.28
/home/sujiya/SpTRSV_Gpu/matrix/139.mtx, 171778, 591768, 3.44, 31, 5541.23, 0.01, 0.13, 9.46, 89.84, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/13.mtx, 321671, 1074739, 3.34, 35, 9190.60, 0.02, 0.30, 7.06, 67.92, 0.02, 0.12
/home/sujiya/SpTRSV_Gpu/matrix/140.mtx, 132288, 451622, 3.41, 39, 3392.00, 0.01, 0.12, 7.43, 70.86, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/141.mtx, 132402, 730532, 5.52, 9, 14711.33, 0.01, 0.17, 8.45, 70.25, 0.37, 0.80
/home/sujiya/SpTRSV_Gpu/matrix/142.mtx, 69235, 348391, 5.03, 9, 7692.78, 0.01, 0.08, 8.39, 71.38, 0.29, 0.75
/home/sujiya/SpTRSV_Gpu/matrix/143.mtx, 25605, 112564, 4.40, 9, 2845.00, 0.00, 0.04, 6.27, 55.40, 0.22, 0.69
/home/sujiya/SpTRSV_Gpu/matrix/144.mtx, 51813, 178257, 3.44, 5, 10362.60, 0.00, 0.02, 17.22, 163.72, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/145.mtx, 104115, 435612, 4.18, 8, 13014.38, 0.01, 0.04, 23.46, 208.38, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/146.mtx, 163215, 829549, 5.08, 11, 14837.73, 0.02, 0.24, 6.85, 58.45, 0.41, 0.81
/home/sujiya/SpTRSV_Gpu/matrix/147.mtx, 186558, 1087730, 5.83, 10, 18655.80, 0.02, 0.36, 6.07, 49.85, 0.45, 0.84
/home/sujiya/SpTRSV_Gpu/matrix/148.mtx, 288987, 997297, 3.45, 28, 10320.96, 0.02, 0.26, 7.78, 73.86, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/149.mtx, 50000, 199984, 4.00, 25, 2000.00, 0.00, 0.09, 4.50, 40.58, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/14.mtx, 682712, 1505944, 2.21, 49, 13932.90, 0.05, 0.42, 7.19, 82.47, 0.00, 0.04
/home/sujiya/SpTRSV_Gpu/matrix/150.mtx, 75000, 299982, 4.00, 25, 3000.00, 0.00, 0.07, 9.01, 81.27, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/151.mtx, 62500, 249983, 4.00, 25, 2500.00, 0.00, 0.06, 8.01, 72.24, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/152.mtx, 87500, 349981, 4.00, 25, 3500.00, 0.00, 0.07, 10.12, 91.26, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/153.mtx, 133769, 446742, 3.34, 25, 5350.76, 0.01, 0.09, 10.06, 96.71, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/154.mtx, 193352, 650279, 3.36, 27, 7161.19, 0.01, 0.12, 10.57, 101.37, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/155.mtx, 479119, 479119, 1.00, 1, 479119.00, 0.03, 0.05, 18.79, 339.31, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/156.mtx, 131581, 131581, 1.00, 1, 131581.00, 0.01, 0.01, 19.76, 356.86, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/157.mtx, 132568, 132568, 1.00, 1, 132568.00, 0.01, 0.02, 13.55, 244.71, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/158.mtx, 2216688, 4657926, 2.10, 177, 12523.66, 0.16, 1.87, 4.98, 58.43, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/159.mtx, 48837, 166112, 3.40, 19, 2570.37, 0.00, 0.05, 7.28, 69.48, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/15.mtx, 1270432, 5042656, 3.97, 352, 3609.18, 0.08, 6.47, 1.56, 14.10, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/160.mtx, 169588, 584544, 3.45, 24, 7066.17, 0.01, 0.12, 10.01, 95.12, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/161.mtx, 4163763, 16651739, 4.00, 2767, 1504.79, 0.50, 6.95, 4.79, 43.20, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/162.mtx, 168609, 584094, 3.46, 25, 6744.36, 0.01, 0.14, 8.62, 81.72, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/163.mtx, 325729, 783757, 2.41, 275, 1184.47, 0.02, 0.44, 3.58, 39.54, 0.02, 0.12
/home/sujiya/SpTRSV_Gpu/matrix/164.mtx, 84538, 293037, 3.47, 30, 2817.93, 0.00, 0.09, 6.48, 61.46, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/165.mtx, 414604, 1535651, 3.70, 96, 4318.79, 0.03, 1.48, 2.07, 19.17, 0.00, 0.05
/home/sujiya/SpTRSV_Gpu/matrix/166.mtx, 350169, 1204941, 3.44, 30, 11672.30, 0.02, 0.19, 12.59, 119.63, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/167.mtx, 365344, 1249464, 3.42, 26, 14051.69, 0.02, 0.20, 12.23, 116.54, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/168.mtx, 269118, 906192, 3.37, 23, 11700.78, 0.02, 0.16, 10.99, 105.34, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/169.mtx, 85567, 252384, 2.95, 173, 494.61, 0.00, 0.24, 2.12, 21.43, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/16.mtx, 1270432, 5042656, 3.97, 352, 3609.18, 0.08, 6.47, 1.56, 14.10, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/170.mtx, 196621, 686377, 3.49, 29, 6780.03, 0.01, 0.14, 9.50, 89.87, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/171.mtx, 62586, 133528, 2.13, 24, 2607.75, 0.00, 0.05, 5.79, 67.51, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/172.mtx, 421545, 1450776, 3.44, 29, 14536.03, 0.03, 0.24, 12.20, 116.00, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/173.mtx, 525825, 2100225, 3.99, 7, 75117.86, 0.03, 0.16, 26.72, 240.97, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/174.mtx, 156243, 310567, 1.99, 12, 13020.25, 0.01, 0.06, 9.87, 119.23, 0.02, 0.10
/home/sujiya/SpTRSV_Gpu/matrix/175.mtx, 66844, 131929, 1.97, 11, 6076.73, 0.00, 0.04, 5.93, 71.86, 0.02, 0.09
/home/sujiya/SpTRSV_Gpu/matrix/176.mtx, 83060, 164317, 1.98, 9, 9228.89, 0.01, 0.04, 7.46, 90.30, 0.02, 0.09
/home/sujiya/SpTRSV_Gpu/matrix/177.mtx, 99431, 195951, 1.97, 10, 9943.10, 0.01, 0.05, 7.67, 93.13, 0.02, 0.09
/home/sujiya/SpTRSV_Gpu/matrix/178.mtx, 114944, 227096, 1.98, 10, 11494.40, 0.01, 0.05, 8.34, 101.07, 0.02, 0.09
/home/sujiya/SpTRSV_Gpu/matrix/179.mtx, 129181, 255326, 1.98, 10, 12918.10, 0.01, 0.06, 8.77, 106.25, 0.02, 0.10
/home/sujiya/SpTRSV_Gpu/matrix/17.mtx, 1489752, 5904756, 3.96, 432, 3448.50, 0.10, 8.71, 1.36, 12.26, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/180.mtx, 142823, 283381, 1.98, 11, 12983.91, 0.01, 0.06, 9.05, 109.41, 0.02, 0.10
/home/sujiya/SpTRSV_Gpu/matrix/181.mtx, 263743, 783512, 2.97, 213, 1238.23, 0.02, 0.32, 4.92, 49.46, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/182.mtx, 94294, 319864, 3.39, 42, 2245.10, 0.01, 0.11, 5.64, 53.94, 0.00, 0.01
/home/sujiya/SpTRSV_Gpu/matrix/183.mtx, 411676, 1277619, 3.10, 22, 18712.55, 0.03, 0.12, 20.80, 205.63, 0.00, 0.00
/home/sujiya/SpTRSV_Gpu/matrix/184.mtx, 39899, 120017, 3.01, 23, 1734.74, 0.00, 0.04, 5.95, 59.53, 0.00, 0.00
